,Data
10,"Not Verified | Emirates used to be good. Their standards have clearly dropped while their prices have increased. I have been flying with them for 10 years and never did I get upgraded! I did not mind flying economy but now, the food is really bad, customer service is terrible. Not the best company out there anymore."
11,"✅ Trip Verified |   Boarding was a mess, I blame Lisbon Airport for such a disastrous management. Plane was clean though seats were showing the age (old faded fabric). Took-off on time. IFE was ok nothing too impressive the way they advertise it. Emirates meal portion and quality is the best. I had the best beef lasagna. Dessert, bread, etc were also excellent. Generous with the drinks. Snack was served before landing, just a simple cheese sandwich. The crew on board wasn't too interactive. Only saw them during the meal services and that's about it."
12,"✅ Trip Verified |   Emirates did not live up to its reputation. On two of the four legs they ran out of food options. The meals were only served 2-3 hours into the flight. The worst happened on the last leg between DXB and JHB. We were seated between 4 drunk passengers (2 unrelated to the other 2) who’s behavior was shocking and filthy to say the least. The staff didn’t really handle the situation well and it seemed like they rather chose not to have any confrontation. Quite frankly, we were surprised those passengers were even allowed to board since they were already clearly drunk at the airport. In fact, 2 of them seemed to be somewhat drugged as well. The other two drunk passengers made the flight really uncomfortable for those around them, even indecently exposing themselves. We were just grateful that they did not become aggressive, posing a risk to smooth flight operations. The cabin supervisor’s judgement was poor and the cabin crew did nothing to rectify the situation, even after being alerted to the problem. In fact, they served 2 of them more alcohol which was absolutely the wrong thing to do. We have to say that we have never experienced such poor service and unprofessionalism before.  Emirates need to up their game. At the moment, Qatar Airways definitely have the upper hand."
13,"✅ Trip Verified |   I flew a return trip DXB-LIS-DXB I used my miles to upgrade to business class on the outbound journey which was a very nice experience a morning flight with flat bed seat lovely crew and amazing service . On the return they surprised me on boarding with an upgrade to business class. Even though it was the middle seat, it didn’t bother me. They provided bulgari amenities kit and mattress and cover. After a delicious meal I had a 5 hrs sleep as it was an over night flight. "
14,"✅ Trip Verified |   We were 2 people travelling together and on the Dubai-Boston sector, the armrests on the seats allotted just wouldn’t stay up. We highlighted it to the crew before takeoff and they sent a technician to check. The technician came, saw it from a distance and went back saying he’ll send someone else. The flight took off, no one came. Highlighted to the crew again - they said, “Our technician came but you refused to get up from your seat and let him check. And we can’t help you now”.  It was a 14 hour horrendous experience and deficiency in service, coupled with a lie and blaming it on us. It was physically painful with the armrest pushing on the shoulder for 14 hours and a mental agony at such service and behaviour by the crew."
15,"Not Verified |   First time flying Emirates, was expecting a lot because this airline has a good name. Unfortunately the facts are different. Attendants on 3 of the 4 legs a have flown with them look as they are very tired. Making eye contact, heads are turned away, being in the aisle for a short moment, I was literally pushed aside by a staff member walking up and down the aisle. Meal time was too short, 1 time I got my breakfast 30 minutes before landing, 5 minutes later they tried to collect my meal again. The meals itself were overall good and the food was enjoyable. Ground services in Amsterdam and Dubai were accurate and friendly. Overall I booked my next vacation in December and avoided this airline. The feeling I got from Emirates was that I am not welcome and passengers are a burden."
16,"✅ Trip Verified |  Ground Staff and Service Failures on Flight EK 354. My carefully planned return trip from UK, with EMIRATES turned into a nightmare due to issues caused by their Dubai ground staff.  Upon checking in Manchester, I was issued a boarding pass for the MAN-DXB and DXB-SIN legs of my journey, with seats allocated according to my pre booking. However, upon reaching Dubai and during check-in, the counter staff took my boarding pass and issued a new one. Initially, I presumed new boarding pass was due to a soiled document and did not notice the seat change as there is no change in flight. To my disappointment, the new seat I was assigned turned out to be directly in front of the toilet onboard. I also sought assistance from cabin crew and online chat services before take-off, but unfortunately, no one helped me. I had specifically opted for an Economy Flex Plus ticket, solely to secure a seat reservation that would allow for a more comfortable journey. The proximity to the restroom doors, with their associated noise, significantly hindered my ability to rest or enjoy the flight services as intended. Furthermore, crew members accessing the overhead luggage bins above my seat at regular intervals further disrupted any chance of relaxation. Additionally, during the meal service, crew members did not lock the lavatory door, causing passengers to enter and exit while I was eating. This forced me to stop my meal. At the end of the journey, the crew sarcastically asked me about my flight experience, despite being well aware of the difficulties I had faced. Emirates' service in 2024 should be considered among the worst. Until today I have not received any reply on my compliant placed with Emirates and their customer service reminded me that it requires 60 days to send a reply. I must tell that compare to past, Emirates service quality are highly deteriorated and no one care of it there."
17,"Not Verified |  The staff are friendly and the seat is comfortable. The air ticket is cheap. There's TV and wifi, there are also a gift for kids too. The services are very great. There are many delicious foods to eat too."
18,Not Verified |   I had a flight in April from Mumbai to Dubai to London. Due to the rains / flood in Dubai flights were getting canceled but Emirates never bothered to inform the passengers. I had to spend 6k (back and forth) on Uber coming from Pune to Mumbai to catch the flight. After I got to the gate they told me the flight was canceled. I was so furious. I asked them why I never got any text or email update and they blamed it on the passengers. So I asked her to verify my phone number. When I got to the airport I checked on the app about the flight details and till that time it showed on time. They never even bothered to change that. Now that I am asking for my refund they are not taking responsibility and returning my money. 
19,"✅ Trip Verified |  It was my first time flying premium economy on Emirates, and I'd happily do it again. The seats were wide, with plenty of legroom, and the food was quite good. Service was also fine. Shame they serve Prosecco and there is very limited choice on wines, but let's skip right past that. Obviously, I'd much rather fly business or first on Emirates, but this was better than the old business class on BA and worth paying to avoid economy."
20,"✅ Trip Verified |  The services on the mentioned sector was pathetic. Dirty Toilets, tissue all around the floor. The meal asked for at the time of booking and paying at least 25% more than other airlines, was not provided. A simple service for lukewarm water was not provided. In flight movies were nothing new or trendy. Overall a very poor performance."
21,"✅ Trip Verified |  I have always been flying in Emirates because of their good services but this time we had a very bad experience! The cabin crews were terrible to say the least especially from Dhaka to Dubai. We asked for a Bassinet for the baby a few times but didn't get one. The baby fell asleep and I was holding for about half an hour watering a bassinet still did not get one then I had to speak to one of the cabin crews with a firm tone to get one! They didn't even offer lunch to one of my daughters. When asked, the lady said oh do you want lunch? What do you mean? She is 11 years old and needs food to eat on board, doesn't she? They also didn't give us any baby food either. My boy was hungry and crying. The lady next to me with infants had to share one of her babies food with my boy. When I fed that food to my son, one cabin crew came with some baby food which we didn't ask for saying we ran out of what you asked for. Just terrible! We also noticed in general the cabin crews were unprofessional, careless and ignoring the passengers' requests. It was a terrible experience this time. Hope Emirates read these reviews and take serious actions to improve their services."
22,"Not Verified |   I am writing this review to express my profound disappointment and frustration with the service provided by various departments, particularly customer support, following the cancellation of my flight from Vienna to Male last April due to the recent floods in Dubai. While I understand the circumstances surrounding the flight cancellation, the issue lies with the abysmal customer support I have encountered since then. Upon requesting a certificate for insurance purposes, I was informed that I would need to wait 30 days for processing, which I accepted as part of the procedures. However, upon receiving the certificate after the specified period, it was found to be incorrect for both myself and my travel companion. Subsequent attempts to rectify this error have been met with further delays and inefficiencies. Despite being advised to fill out another form for follow-up, it has now been two months since my initial request, and I am still awaiting the correct certificates. The lack of assistance and communication from customer support has been appalling, with promises to escalate the issue to the relevant department unfulfilled and no resolution in sight. As a loyal customer of Emirates, I am deeply dismayed by the subpar level of customer support and service provided in this instance. The unresolved issue with the certificates has also led to a delay in processing my insurance claim, further exacerbating the situation. It is truly disheartening to experience such incompetence and negligence. The disparity between the exceptional flight services and the inadequate customer support is not only disappointing but also unacceptable."
23,"Not Verified | Having flown almost exclusely in business class for work travel paid for by my employer, the thought of 19+ hours in economy class from Delhi to Washington via Dubai filled me with dread. I was pleasantly surprised, however, by EK's economy product. While it is still economy and you can never 'go flat', I found Emirates' economy to be way better than United or Air Canada economy and, overall, offers solid hard and soft products. The seat is a decent size and has good legroom, again, compared to North American carriers. Catering was good with two full meals and a pizza or sandwich snack in between. Meal portions were good with plenty of variety. I was impressed by the 'engineering' of the economy meal tray with every conceivable space used to offer something. Every time I rang the call button, it was answered pleasantly. Washrooms were kept quite clean throughout both sectors. The ICE entertainment system offers tons of options. If paying out of my own pocket, I'd again chose EK economy."
24,"Not Verified |   Boarding started on time, the staff were friendly and hospitable despite some challenging behavior from some of the travelers. The cabin was clean and well kept. The food was served on time and was appetizing. The IFE worked well and their library of content was well curated. Overall a good experience."
25,"✅ Trip Verified |  Emirates provides an option to purchase extra kilograms of luggage before the flight. However, the link they provide does not lead to any option that allows for pre-purchasing luggage. Instead, the link leads to options for seat or class upgrades, food selection, or flight charges. In other words, Emirates takes extra effort to hide the option to buy extra kilograms prior to check-in. Today, I faced an extra charge of £380 because I was not given the option to purchase extra kilograms in advance. I tried searching but could not find the actual link to buy extra luggage. There are much better options to fly. Will not use your bad service next time."
26,"✅ Trip Verified |  The economy cabin in this airline is the worst in the world. Very rude flight attendants and crew. They only take care of higher levels, and other passengers, who are the majority of people in flight, are nothing to them. I was the gold member of this airline, and I stopped to fly with them. After 14 years, I tried to gain with minor hope for some changes, but it was worse than before. The crew's attitude on the ground and flights with economic passengers is unbelievable. It seems all of them are trained to deal with economy passengers like this. It is obviously not a chance for all of them to act like this with an insulting attitude."
27,"✅ Trip Verified |  No service with customer service has been terrible. They simply do not care about passengers. My sister had to cancel her leg of trip due to a diagnosed blood disorder that was serious enough she could not travel far from her home, fly, sit for long periods etc. While she undergoes series of tests to figure out cause and how to help her, Emirates would not let her cancel her one way, outbound flight. The flight does not leave for 7 months. They feel she can rest up and be healed by the date of departure.  She does have a flexible economy ticket to make the cancellation. They claim medical reasons are not approved reasons for cancellation of most of ticket value. Trying to change the name so i can save the trip and take a friend instead? Nope! Out of the question says Emirates. "
28,"Not Verified | My first experience travelling First Class (using Qantas points) was pretty surreal. Having flown the best (and worst) of discount airlines and everything in between, this was something else. Just the sense that you're the only one on board and that you call the shots. It was other-worldly. I drank dom perignon for 7 hours, ate a lot of caviar and chatted to some lovely relaxed staff (after all, they only had four passengers to attend to). The 'suite' was large, comfortable and opulent. Of course it was... Even though it was a 777 (not a 380), there was an absolute sense of luxury. Not sure if I'll ever try/fly first class again, but it was worth the points and a lot of fun."
29,"✅ Trip Verified |  Decent flights, but unremarkable. Service was polite but disengaged, with little attempt by crew to interact with passengers. Seats were comfortable, with good legroom. I thought the IFE was excellent, with some quality new releases to choose from. The meals were large and generous - I am a Qatar Airways frequent flyer, and the Emirates meals are significantly larger than those on Qatar. However, the alcohol options are far smaller on Emirates, and on both flights I was only offered a drink once per flight. It's been nearly 20 years since I last flew Emirates and feel they have lost their shine; whilst I thought they were decent, I feel they lack the polish and refinement of Qatar."
30,"✅ Trip Verified | I fly a lot, but Emirates were my worst experiences ever. Most importantly, 2 out of 2 times I flew with them, I was delayed for multiple hours. The first time it was just sitting on the plane with no AC for 2 hours, and the second was 3+ hours, due to some trivial problem with their cabin lights. That 2nd time I had a connecting flight to catch, and while on board they assured me it would be fine, and while I did make it to the gate while they were still boarding, they refused to board me due to having apparently unilaterally decided to rebook me to a flight 11 hours later, assuming I wouldn't make it. Turns out there were earlier flights, but they wouldn't book me to them due to not codesharing with those airlines. Not only was no compensation offered for this day-long delay, but when I finally booked a separate flight on my own, they wouldn't even refund me, and had me request it on my own online. Overall they just showed 0 willingness to help throughout the entire process, despite it being 100% their fault, for a delay caused by them and between flights both of which they operated. They made it as painful as it possibly could be, every step of the way. Oh, and the flights themselves were also bad - old-looking airplanes, terrible food, and relatively limited entertainment. Emirates might have earned a positive reputation due to their First Class experience, but for Economy flights, it's probably the worst airline I've ever flown."
31,"Not Verified |   Returning from France, travelling in Economy to Dubai, then Premium Economy from Dubai to Auckland. First row in economy, so no one in front of me.  Service and meals were very good. Only 6 hours over night so decided not to sleep on this sector. Watched a couple of movies. The plane seemed on the older side, so movie selection not as good it seemed. Visited the lounge in Dubai due to my Emirates status, which was very good. Shower very welcome and good coffee. Flight to Auckland in Premium Economy a big step up from Economy. Seat very comfortable with loads of legroom, good recline and leg/foot rest. Slept for about 9 hours out of 15 hours. Service was friendly, professional and thorough buy a charming young British chap called Zak. Meals were delicious, hot towels etc. Entertainment was more extensive, although only watched 1 movie, as I wanted to sleep. Arrived half an hour early in Auckland. First off the plane and land side in less than 30 minutes. "
32,"✅ Trip Verified | Emirates is plummeting downhill! Business class but no fast track, no lounge, no information, nobody to speak with! Such a shame that what was once a great airline now barely makes ‘good’, and that only because the cabin crew are the best...the rest are simply awful!"
33,"Not Verified |   On 3/9/2024, I transferred more than 300,000 points from Chase Ultimate Reward to Emirates Skywards account for First Class miles redemption for a flight from Seattle to Thailand. Shortly after that, Skywards locked my account, indicating it's due to ""a routine review."" However, after more than a few weeks, my account was still under ""a routine review."" That's when I started making a call to their customer service, but all they can do is sending an email to the internal team and told me to do the same, which I did ... but no response whatsoever from the internal team. Subsequent calls to the customer services and after hours of explaining, arguing, pleading yield the same outcome (or lack thereof.) The customer service agents were not willing to escalate the issue for us even though they knew that this issue has been going on way longer than their normal timeline. they did not try to help you in any way regardless of how bad the situation is. There was one one time after we pushed so hard to get to talk to their supervisor but even him would not try to help you anyway. Their entire customer service is there just to serve their internal team, not their customers. It has been almost three months now and my account is still under ""a routine review"". What supposes to be a dream trip has since becomes one of my worst nightmares. The customer service agents said the reward miles are valid for 3 years so nothing to be worried about, but how would it matter if my travel plan window is already passed - and at this rate who knows whether they will complete the ""routine review"" of my account within 3 years. All I want at this point is for the precious points I have been saving up all these years to go back to my Chase Ultimate Reward account and wake up from this nightmare."
34,"✅ Trip Verified | I have a business class ticket for 3 flights AMS - SGP (Business Saver) SGP - DBX (Flex Plus)$$ DBX - AMS (Flex Plus)$$ Conditions for Flex plus as per webiste states: ""Flex Plus fare A Flex Plus fare is a totally flexible and unrestricted fare"". I'm 2 days before first departure. I want to change the 3rd flight. My ""Flex Plus"" doesn't apply anymore since they will reissue all 2 flights and the first one is Business Saver. They want to charge me 900€ to upgrade the 1st one, then 300€ change fee. In other words, if ""any"" of your flights is saver, ""none of them"" are Plus anymore. I feel scammed."
35,"✅ Trip Verified |   Traveled from Dhaka to Lyon via Dubai in June 2023. Seat quality was average, food was also average, cabin crew were good. Ground services were slow. Flight was not bad but the layover at Dubai Airport was boring."
36,"✅ Trip Verified |  I’ve flown Emirates a few times. I love the food but the flight attendants on all my flights were unfriendly and rude. Many of them are acting like they are doing us a favor by serving us, even though that’s their job. On May 5, I flew from Tokyo to Dubai and most likely it was my last flight with the Emirates. Especially a flight attendant who was very unfriendly and also skipped our line while serving food. She was unfriendly with everyone.  She seems to be hating her job. Apart from the flight attendants, one other thing I am not happy about is the delays. In my experience, Emirates never departs and arrives on time, there is always a delay. "
37,"✅ Trip Verified |  I have just collected my bag after a horrendous Emirates flight where the passenger next to me was intoxicated and assaulted me on the flight. The crew had to write a report as she should have not been allowed boarding. My bag is completely soaked through, all contents of the bag is soaking. I spoke to the ground staff and they could offer no help what so ever or a report. Everything is ruined - I am furious, I’ve had no communication regarding my outbound flights that were cancelled due to the storms and now my luggage is ruined. I will never fly Emirates again."
38,"Not Verified |   Seats were very comfortable, very polite staff but the food quality has gone down significantly. Tasteless and overcooked. Not what it used to be when it was first launched."
39,"✅ Trip Verified |  Inbound flight to DXB was 16 years old A6-EWC 777-200 refurbished cabin which is comfortable. Cabin crew reflect good training, collaborative. Food is standard like others, did not use IFE during flight. Connected in Dubai for less than 30 minutes and disembarked to bus then terminal and surprisingly my luggage arrived to terminal destination."
40,"Not Verified |   Emirates left thousands of passengers stranded for up to 3 days in Dubai airport, some with children with no help or explanation. They have no contingency for rain and no interest in human care. They have provided no compensation for the impacted passengers. They claim that missing luggage was also due to the rain, they provide no help when things get tough and I will never be flying with them again. They also required me to fill out a medical form to board and they took zero notice of my one requirement (more drinking water than average) and, despite being able bodied, would not allow me to purchase the bulkhead seats after having spoken to me in person (a fit and healthy 35 year old with just a touch of hydrocephalus) due to the fact, and I’m quoting here I’m “disabled.”"
41,"✅ Trip Verified |  Boarding fast despite seemingly full airplane. FA good and attentive. Departure delayed by 30 minutes. Outdated seat you need to press button 100 times to go to flat. Food quality is average. Internet not working, I have to spend time trying and trying. Bathrooms are clean however it was at the back of the airplane, front bathroom kept for first class, and every time i went i found 3-4 waiting, Toothbrush not available."
42,"✅ Trip Verified | My friend and I were scheduled to fly from Prague to Bangkok on 18 Apr. The flight was delayed 4 times. We arrived 2.30 hours before departing time. After 1.30 hour wait and 2 very disorganized check-in counter change, the counter stopped taking in passenger. No explanation from the staff. We found out from a fellow passenger that the flight was not confirmed. I tried calling and contacting them online but both channels were too busy. We finally went to talk to the staff who couldn't confirm when we will be flying out. They told us that they could not confirm about our connecting flight in Dubai to Bangkok too. A two-to-three-days wait was probable. We finally had to cancel the flight and bought a new last-minute ticket from Qatar to get back home. We tried to get compensation on extra hotel charge and airfares but the airline is not taking any responsibility. Extremely poor management and definitely no sense of responsibility from the airline."
43,"✅ Trip Verified |  My sister and I travelled to Toronto via KLIA on 20th March 2024. The services were top notch. We travelled by economy class but were treated nicely by the stewardess. The food was great and we were fed quite frequently. When coming back on 4th April, we had a bad experience due to mistake done by Air Canada since we had 2 layovers and one of the layover had to travel via Air Canada. "
44,"✅ Trip Verified |  As someone from the service industry as an Operations Manager, it is rather appalling the standard for this experience. Not only did the person attending our aisle forgotten our drink requests once, but twice! One of which i also have to take the drink order myself. Not only that, the flight attendant didn’t apologise on both occasions which are of different time stamps, that’s a poor representative of the airline and i believe this is rather basic. Moreover and unfortunately, screen on the seat was blank and was requesting assistance to resolve it. Was reassured that it will be troubleshoot in 10-15 minutes. Guess what? Wasn’t resolve throughout the remaining of the flight. And also, i believe it’s basic to walk down the aisle once in awhile at your respective section to check-in with the guests to see everything is alright and needs immediate attention, but am noticing a pattern on both occasions, to and fro Dubai and Singapore. Seems like they only service during food and drinks, then hide back in the staff area. "
45,"✅ Trip Verified |  Great airplane, service and staff, especially when flying on the A380 with the bar.  The seat is comfortable, crew is friendly and professional. The aircraft is clean. However the catering is a little disappointing. For such an expensive ticket I was expecting far better to be honest."
46,"✅ Trip Verified |  True color of organisation is discovered when time of need arise, and Emirates capability is discovered. Never fly Emirates again, do not recommend anyone to travel on Emirates - you will be left to dry. I checked onto EK421 with a 20 kg checked bag on 18th March from Perth Airport. Arrived at Dubai airport on the 19th morning, as of today after 3 days of being me hostage at Dubai airport - there's no information from Emirates airport staff on anything, no worry about my dietary needs, my medical needs, sorry about my personal & business plan). I am not allowed to access my essential needs & medication from checked-bag and they would not put me on to my next connecting flight. At Dubai Airport Emirates staff directed me and others to continuously watch out for the Gate number on the screen as the flight would be listed there (but they won't tell when), I and others kept waiting for hours for the flight to appear, they appear without gates, stay listed there and then gets canceled. Clearly Emirates are just listing ghost flights so they don't need to provide a hotel. I am now on airport for more than 36 hours, no hotel provided, no vegetarian food available, I now almost three days in the same pair of clothing, and my medication & other essentials are in a checked-in bag that Emirates staff don't even care and tell me anything on when it will be returned to me. Their pretext that this is due to rain is just made up, as of last few days Dubai has returned to normal, for sure essential airport services there shouldn't be hold up and the excuse of weather event is just hiding their lack of management ability."
47,✅ Trip Verified |  Horrible service from start to finish. 6 hours delay. No communication. Unable ground staff and very rude. Lost baggage. I could spend hours making list of the problems. Will definitely change airline.
48,"Not Verified |   After some disruption in Dubai airport due to a storm, Emirates seems not to recover. The situation is getting worse and day by day more flights are cancelled and more luggage lost. Emirates has lost it completely and the management of Emirates is not putting all what it takes to go back on track. After 11 years of flying Emirates as platinum member I am evaluating the possibility of moving to Qatar airways or even Etihad. Emirates has wonderful inflight service but the lack of professionalism of the ground staff is killing the company"
49,"✅ Trip Verified | Flights postponed due to weather, spent 4 hours on hold for an agent to rebook flight as we needed to be home on the 20th. Phone number sometimes worked and sometimes didn’t. Called 20 plus times. Headed to airport to speak to an agent in person while on the 4 hour call hold. Finally rebooked to New York but the original ticket was for Miami. Flight is at midnight and the airport wouldn’t let us through the gate so we are spending 6+ hours with no AC in hot conditions and my mum is elderly (70) and not in good health. Also told us that we had to pay our own fare to Miami from New York which cost an additional $800 which they said will not be refunded. Also we were told this at 10:30am when the flight was at 4pm today."
50,Not Verified |   Shocking service. I would never recommend this airline. Cancelled flight home and literally left everyone to fend for themselves. Long delays and everyones been messed about. Absolutely diabolical for being such a massive company. Would give 0 stars if allowed. Definitely not travelling with them ever again
51,"✅ Trip Verified |  After the big storm in Dubai, my mother stayed locked in the airplane after landed for 8 hours, no food, no assistance, no information! She is 64 years old, she has problem to walk, I even requested the wheel chair and transfer assistance to take her from one gate to the other. After 8 hours, when they let the passengers out of the plane, she didn’t get any assistance and had to walk a lot, as we know Dubai airport is huge. She lined up for 3 hours to get a new board pass, they gave her a boarding pass for 08:20am on 17/04/24, but it was already 22:10 17/04/24 when they give it to her. She didn’t eat for this whole time. Now they booked her in for on flight at 09:05 on 18/04/24, let’s see. The problem is not rescheduled the flight due the bad weather, the problem was the Emirates didn’t give any assistance to the passengers."
52,"✅ Trip Verified | We have boarded the flight from BOM to DXB on 04.04.2024 which was late because of a technical issue and the crew doesn't want to work over shift. The said flight reached the next day without any inflight food (BOM-DXB) instead of the same day creating physical harassment, mental harassment and financial losses (hotel & further tour charges got cancelled). Despite having active transit visa your staff kept us waiting for three hours at DXB airport for issuing current transit. My Flight no. EK 0506 which has original time of departure 9.30am (DXB-BOM) has not yet departed (till 10 pm) because of bad weather conditions but flight EK 0502 which has original departure time of 13.00 pm has already reached BOM. How come? It seems EK 0506 is not important, (bad weather is applicable to all flights). This behaviour and approach of Emirates is totally not acceptable & hence we here by demand compensation."
53,"Not Verified |   On both the outward and return flights, I or my travel partner sat on a broken seat. Yes, we had booked economically, but then you can expect a fully functioning chair, right? Our flight to Bali took more than twenty hours in total. The quality of the chairs was nothing to write home about. We arrived at all destinations broken. I bought a new suitcase in Bali. This one also arrived “broken” at home in Amsterdam. One flight with Emirates was apparently too much for this beautiful suitcase. After some correspondence back and forth with Emirates, the conclusion was that they could not do anything for me and would not take responsibility. My conclusion is therefore to take a look at other companies where service may still be expected. In any case, I won't be booking Emirates again anytime soon. My next flight to Bali is with our KLM. Zowel op de heen- als op de terugvlucht zat ik of mijn reispartner op een kapotte stoel. Ja, we hadden economisch geboekt, maar dan mag je toch wel een volledig functionerende stoel verwachten? Onze vliegreis naar Bali duurde in totaal meer dan twintig uren. De kwaliteit van de stoelen was niet om naar huis te schrijven. Gebroken kwamen we op alle bestemmingen aan. Op Bali had ik een nieuwe koffer gekocht. Deze kwam ook “gebroken aan” thuis in Amsterdam. Één vlucht met Emirates was blijkbaar te veel voor deze mooie koffer. Na wat correspondentie heen en weer met Emirates was de conclusie dat ze niks voor mij konden betekenen en de verantwoordelijk niet op zich namen. Mijn conclusie is daarom ook om eens te kijken naar andere maatschappijen waar misschien nog wel service is te verwachten. In ieder geval zal ik Emirates niet meer zo snel boeken. Mijn volgende vlucht naar Bali is gewoon met onze KLM."
54,"✅ Trip Verified |  It was my first ever travel with Emirates and I have no hesitation to say that it was my first and recent travel will be my last travel with this airline. I have been traveling around for 4 decades. This airline is the worst I have traveled. From boarding desk staffs to aircrews, they are unfriendly, utterly rude and disrespectful. Pathetic all across the board."
55,"✅ Trip Verified |  Do not fly with Emirates if you don’t like to be squashed by obese passengers.  I pay full price and more for a flex ticket, but I only get 3/4 of a seat as the obese person next to me far is overflowing into my chair.  When I insisted to be moved to another chair it took the staff 15 minutes for the cabin staff to even respond to my calls, they were too busy chatting at the crew area, I was watching them. I had to press the crew call button on and off over 20 times, that’s no exaggeration, before someone came to ask me what I wanted. After pointing out what was going on I was moved to the chair closest to the toilet, almost in the toilet, I could hear everything inside the bathroom. The seat they put me in sticks out into the aisle so every time the air hostess would walk past they would knock my chair, completely lacking awareness or care for the passengers. They really don’t care. it’s difficult to imagine a more incompetent bunch of cabin staff and management controlling an airline. It is 100% the last time I’ll ever consider flying Emirates. I didnt even have have space to even eat my meal so I couldn’t ask for my dinner I couldn’t rest without being leaned on and knocked constantly by the customer overflowing into my chair. This is absolutely unacceptable. "
